Hora,Tiempo_operacion,Tiempo_sin_operar,Factor_toneladas,Factor_kilometros,Toneladas_cargadas,Kms_andados
288,334.33259960000055,377.8977123453043,6.613642926748517,5.2737767938057605,5467.044694476342,4359.4693211843805
289,335.11551745445524,379.46359706580563,6.640339344878624,5.27578858535989,5501.9668304975185,4371.344940941133
290,336.70262089281476,380.47346246873207,6.621446257217549,5.277055662094733,5512.295756179098,4393.102413174197
291,337.8175268426126,381.8850150898507,6.608707779142751,5.2707710042250975,5519.908549992809,4402.399819083883
292,339.15269781912514,383.18983657873014,6.6079443550017585,5.265773152600857,5541.084957286616,4415.608672956593
293,340.14901195781687,385.1188074236946,6.6133674456770555,5.264324863380293,5561.923647908445,4427.362185515109
294,341.3395225588531,386.3004801964603,6.622275651081199,5.266253114507753,5588.9083339197905,4444.485169595449
295,341.87776803008313,387.41977211735315,6.62232592918099,5.274511848249116,5597.7637729399175,4458.474508777735
296,342.196031652732,388.1468036934243,6.6411963985439115,5.293344675858591,5618.9406937930635,4478.558985543006
297,343.1461675141115,390.14489914952793,6.63064996865877,5.288734052664819,5625.594320801912,4487.08232096907
298,344.01693349083274,391.351396384653,6.623988661262417,5.29660028789623,5634.203854194171,4505.159546952411
299,345.22905039130785,392.41609090012287,6.639034741481163,5.30097303968689,5666.898455645085,4524.765587431759
300,346.35870826706775,393.71269638492015,6.654908854503538,5.302552729771157,5699.035716544662,4540.924309636036
301,347.01930485767963,395.7002795156786,6.674259974506519,5.305591049297044,5726.5085092897025,4552.191914408792
302,348.2917517772172,397.56044589265593,6.6816479082496105,5.29719503688191,5753.868496567969,4561.65366110644
303,349.4678260459098,399.07593537449856,6.67035002058599,5.302080993774513,5763.535570100438,4581.278689853265
304,351.49253702906736,399.6970893304951,6.640433891732186,5.286413778603863,5770.928872406045,4594.205499796362
305,352.846099341333,401.46000811768783,6.621569481757903,5.283277758072923,5776.694719392054,4609.161439779816
306,354.723109340892,402.1006834921771,6.622374966854954,5.2682581387091805,5808.131034444768,4620.507559002618
